rating_id,userId,rating,timestamp,movie_id
11,1,2.5,1260759135,tt0084602
12,1,1.0,1260759203,tt0015881
14,1,4.0,1260759139,tt0163651
16,1,2.0,1260759198,tt0085980
17,1,2.0,1260759108,tt0261392
18,1,2.5,1260759113,tt0086551
22,2,5.0,835355681,tt0411267
27,2,3.0,835355749,tt0062622
28,2,4.0,835355532,tt0111495
29,2,3.0,835356016,tt0093191
30,2,5.0,835355395,tt0083511
31,2,4.0,835355441,tt0335266
32,2,3.0,835355493,tt0240772
33,2,3.0,835355441,tt0096874
34,2,3.0,835355710,tt0092007
35,2,3.0,835355511,tt0066921
36,2,3.0,835355664,tt0425210
38,2,5.0,835355840,tt0017668
39,2,1.0,835355749,tt0032976
40,2,3.0,835355552,tt0082222
41,2,3.0,835355664,tt0092005
42,2,3.0,835355896,tt0055312
43,2,4.0,835355511,tt0070328
44,2,4.0,835355681,tt0051459
45,2,5.0,835355697,tt0082661
46,2,5.0,835355586,tt0057345
47,2,3.0,835355767,tt0372784
48,2,4.0,835355779,tt0276617
49,2,3.0,835355492,tt0425598
50,2,4.0,835355395,tt0181852
51,2,3.0,835355532,tt0354899
52,2,4.0,835356044,tt0327554
53,2,2.0,835355551,tt0464029
54,2,1.0,835355918,tt0108399
55,2,3.0,835355492,tt0102536
56,2,4.0,835355441,tt0428430
57,2,4.0,835355697,tt0458352
60,2,3.0,835355604,tt0103776
65,2,3.0,835355710,tt0087800
67,2,2.0,835356246,tt0047528
68,2,3.0,835355532,tt0477877
69,2,4.0,835355604,tt0117509
70,2,3.0,835355511,tt0048624
71,2,4.0,835355790,tt0102494
73,2,4.0,835355643,tt0265343
75,2,3.0,835355880,tt0120689
76,2,4.0,835355731,tt0105236
77,2,4.0,835355860,tt0314331
78,2,4.0,835355719,tt0125439
80,2,4.0,835355731,tt0110729
81,2,4.0,835356199,tt0436445
82,2,3.0,835355767,tt0054215
83,2,3.0,835356109,tt0137523
84,2,5.0,835355767,tt0069113
85,2,3.0,835355860,tt0237539
86,2,5.0,835355817,tt0198781
87,2,3.0,835355790,tt0120885
88,2,3.0,835355779,tt0319061
89,2,3.0,835355441,tt0384537
91,2,5.0,835355395,tt0274558
92,2,5.0,835355395,tt0071360
93,2,3.0,835355511,tt0069293
94,2,3.0,835355932,tt0325710
95,2,4.0,835356141,tt0079095
98,3,4.0,1298922049,tt0111495
99,3,3.5,1298861637,tt0049406
100,3,3.0,1298861761,tt0118819
101,3,4.5,1298862418,tt0181852
102,3,5.0,1298862121,tt0120753
105,3,2.5,1298923242,tt0087800
106,3,3.0,1298862528,tt0110729
107,3,3.0,1298922100,tt0384537
108,3,3.0,1298923247,tt0071360
109,3,3.0,1298921840,tt0069293
110,3,2.0,1298923260,tt0056592
112,3,4.0,1298863157,tt0046487
113,3,3.0,1298861687,tt0308644
117,3,3.0,1298861605,tt0416449
118,3,4.0,1298861658,tt0367027
119,3,3.5,1298922089,tt0040746
120,3,4.5,1298923236,tt0069095
121,3,4.0,1298863143,tt0087225
122,3,4.0,1298921862,tt0098258
125,3,3.0,1298862710,tt0949564
128,3,3.5,1298922057,tt0029811
129,3,4.0,1298861733,tt0344510
131,3,5.0,1298862874,tt0762114
143,3,3.5,1298932740,tt0089501
146,3,3.0,1298922071,tt1865335
150,4,5.0,949810582,tt0243862
151,4,5.0,949919681,tt0246578
152,4,4.0,949811346,tt0335266
153,4,3.0,949811346,tt0046672
154,4,3.0,949920047,tt0066921
155,4,5.0,949779042,tt0026029
156,4,4.0,949778802,tt0034583
157,4,5.0,949895708,tt0181852
158,4,3.0,949810618,tt0107290
159,4,5.0,949810582,tt0428430
162,4,5.0,949949538,tt0103776
164,4,3.0,949810534,tt0095953
165,4,3.0,949919883,tt0477877
166,4,3.0,949895772,tt0123755
167,4,4.0,949810688,tt0475317
168,4,1.0,949920135,tt0319262
169,4,4.0,949919802,tt0758730
170,4,4.0,949920028,tt0314524
171,4,4.0,949811315,tt0382330
172,4,5.0,949810582,tt0265343
173,4,5.0,949779091,tt0048347
174,4,5.0,949949486,tt0384537
176,4,3.0,949810534,tt0274558
177,4,5.0,949949538,tt0362227
178,4,5.0,949949638,tt0032551
180,4,5.0,949949444,tt0325710
181,4,5.0,949779022,tt0108160
182,4,5.0,949919189,tt0061512
183,4,4.0,949919306,tt0038355
